Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-01-01 00:00:00,93576.0,93702.15,93489.03,93656.18,175.85673,2025-01-01 00:14:59.999,16461794.000356,19788,63.20664,5915901.6266611,0
2025-01-01 00:15:00,93656.19,93898.05,93614.95,93761.9,95.41749,2025-01-01 00:29:59.999,8948674.2871104,20478,52.30851,4905499.6237741,0
2025-01-01 00:30:00,93761.9,93963.67,93761.89,93885.01,94.36416,2025-01-01 00:44:59.999,8859841.1355676,21825,61.58676,5782319.2750892,0
2025-01-01 00:45:00,93885.0,94509.42,93864.44,94401.14,390.35172,2025-01-01 00:59:59.999,36798501.1364298,31434,243.98128,22993057.2544015,0
2025-01-01 01:00:00,94401.13,94408.72,93880.0,94153.05,284.57018,2025-01-01 01:14:59.999,26761444.8342479,31418,148.47833,13962750.0500208,0
2025-01-01 01:15:00,94153.04,94153.05,93819.6,93825.86,102.66232,2025-01-01 01:29:59.999,9640519.5426802,15068,29.28462,2750458.4282874,0
2025-01-01 01:30:00,93825.86,93989.37,93825.86,93923.14,78.97889,2025-01-01 01:44:59.999,7418445.4439071,14018,41.58822,3906291.5535332,0
2025-01-01 01:45:00,93923.14,93945.25,93578.77,93607.74,120.32317,2025-01-01 01:59:59.999,11276197.0857656,19439,38.06906,3568438.2940218,0
2025-01-01 02:00:00,93607.74,93805.04,93594.56,93800.0,104.71689,2025-01-01 02:14:59.999,9815653.6063926,20595,74.62151,6994807.6146877,0
2025-01-01 02:15:00,93800.0,93805.16,93689.48,93742.52,48.21903,2025-01-01 02:29:59.999,4519803.198628,10475,28.19412,2642733.5686518,0
2025-01-01 02:30:00,93742.51,93921.86,93742.51,93921.86,39.8339,2025-01-01 02:44:59.999,3737782.39819,10519,26.84878,2519287.4517371,0
2025-01-01 02:45:00,93921.86,94105.12,93912.0,94098.91,84.01063,2025-01-01 02:59:59.999,7900851.4325988,13489,55.68763,5236941.7971714,0
2025-01-01 03:00:00,94098.9,94098.91,93959.89,93976.01,65.06529,2025-01-01 03:14:59.999,6116167.1608368,10559,33.53536,3152313.5419549,0
2025-01-01 03:15:00,93976.01,93976.01,93766.23,93830.89,47.42318,2025-01-01 03:29:59.999,4450426.1344803,10890,18.57933,1743495.2309219,0
2025-01-01 03:30:00,93830.9,93891.15,93800.0,93857.04,67.83649,2025-01-01 03:44:59.999,6366426.9038023,6247,44.61038,4186896.8350044,0
2025-01-01 03:45:00,93857.03,93867.35,93728.22,93838.04,40.66806,2025-01-01 03:59:59.999,3815020.8072861,7305,23.19633,2175959.5748188,0
2025-01-01 04:00:00,93838.04,93838.04,93689.96,93711.19,87.46863,2025-01-01 04:14:59.999,8199872.7668966,9604,58.56068,5489683.4974272,0
2025-01-01 04:15:00,93711.18,93771.99,93679.07,93738.09,53.53604,2025-01-01 04:29:59.999,5016892.9845257,9087,27.81982,2606913.3690752,0
2025-01-01 04:30:00,93738.09,93738.1,93616.82,93645.13,45.89524,2025-01-01 04:44:59.999,4298717.8915628,7425,20.7943,1947577.2341684,0
2025-01-01 04:45:00,93645.12,93670.0,93500.0,93553.91,92.56918,2025-01-01 04:59:59.999,8663572.4821644,12481,25.81067,2416450.6641188,0
2025-01-01 05:00:00,93553.91,93680.0,93547.4,93638.5,44.42431,2025-01-01 05:14:59.999,4158687.1319248,7627,20.10376,1881849.2544671,0
2025-01-01 05:15:00,93638.5,93933.33,93614.5,93891.74,96.81147,2025-01-01 05:29:59.999,9075794.9517449,11754,72.43038,6790210.2312894,0
2025-01-01 05:30:00,93891.74,93937.19,93799.25,93857.65,44.4742,2025-01-01 05:44:59.999,4174433.8004508,10091,18.83718,1768068.5180278,0
2025-01-01 05:45:00,93857.66,93862.11,93792.01,93792.02,23.46942,2025-01-01 05:59:59.999,2201874.9681974,4367,11.84686,1111447.0244053,0
2025-01-01 06:00:00,93792.02,93792.02,93603.21,93603.22,48.12812,2025-01-01 06:14:59.999,4509958.8570611,7892,14.4205,1351256.8026158,0
2025-01-01 06:15:00,93603.21,93701.39,93603.21,93654.5,46.53256,2025-01-01 06:29:59.999,4358059.3633475,6687,25.91134,2426808.5749439,0
2025-01-01 06:30:00,93654.5,93720.01,93568.38,93720.0,134.37648,2025-01-01 06:44:59.999,12583390.1619533,10043,96.65303,9050951.0985881,0
2025-01-01 06:45:00,93720.01,93757.58,93672.34,93757.58,43.2413,2025-01-01 06:59:59.999,4052167.484922,5444,28.92076,2710288.9165087,0
2025-01-01 07:00:00,93757.57,93757.58,93664.08,93685.25,29.27357,2025-01-01 07:14:59.999,2742759.1714861,5654,12.38478,1160309.0968989,0
2025-01-01 07:15:00,93685.25,93786.04,93677.5,93786.03,43.36678,2025-01-01 07:29:59.999,4064816.4753792,6015,26.01846,2438737.0095343,0
2025-01-01 07:30:00,93786.03,93800.0,93727.27,93741.15,37.98335,2025-01-01 07:44:59.999,3561671.1463506,6342,15.74865,1476688.5461576,0
2025-01-01 07:45:00,93741.15,93767.76,93664.09,93684.1,87.31088,2025-01-01 07:59:59.999,8182402.0718946,4880,16.23756,1521962.7599394,0
2025-01-01 08:00:00,93684.11,93756.02,93677.44,93746.39,72.0457,2025-01-01 08:14:59.999,6751815.9031106,4795,40.47386,3793054.9827958,0
2025-01-01 08:15:00,93746.39,93746.4,93304.0,93416.41,245.3307,2025-01-01 08:29:59.999,22944399.5930237,17421,47.91925,4479600.2596375,0
2025-01-01 08:30:00,93416.41,93527.21,93400.0,93476.46,79.27209,2025-01-01 08:44:59.999,7410358.5919988,13211,31.33423,2929211.6693293,0
2025-01-01 08:45:00,93476.46,93547.83,93320.0,93428.46,85.06324,2025-01-01 08:59:59.999,7948455.8942115,16037,42.41101,3962933.0568727,0
2025-01-01 09:00:00,93428.47,93486.29,93217.93,93327.15,114.48117,2025-01-01 09:14:59.999,10689060.3739179,15479,59.21634,5529374.8458509,0
2025-01-01 09:15:00,93327.15,93327.15,92888.0,93141.91,317.30535,2025-01-01 09:29:59.999,29537183.7253608,39420,101.85187,9483886.7163884,0
2025-01-01 09:30:00,93141.91,93302.52,93001.0,93106.31,230.12665,2025-01-01 09:44:59.999,21438007.9588987,20993,150.71472,14044405.0339542,0
2025-01-01 09:45:00,93106.3,93446.48,93048.64,93413.06,136.58456,2025-01-01 09:59:59.999,12745570.8608636,17587,92.76818,8657898.2478454,0
2025-01-01 10:00:00,93413.07,93534.95,93357.67,93384.27,83.96199,2025-01-01 10:14:59.999,7845704.5866,15738,28.2286,2638140.9295866,0
2025-01-01 10:15:00,93384.26,93536.75,93384.26,93410.25,54.91381,2025-01-01 10:29:59.999,5133077.9295099,10023,29.13064,2723031.5888083,0
2025-01-01 10:30:00,93410.25,93509.74,93284.0,93397.96,65.35825,2025-01-01 10:44:59.999,6104772.9043736,14429,32.15336,3003396.2884051,0
2025-01-01 10:45:00,93397.96,93416.64,93292.5,93326.23,61.31787,2025-01-01 10:59:59.999,5723479.2453314,9123,29.35029,2739418.864491,0
2025-01-01 11:00:00,93326.24,93376.63,93200.0,93331.58,76.38624,2025-01-01 11:14:59.999,7127047.0142263,15239,35.55305,3317105.251657,0
2025-01-01 11:15:00,93331.58,93485.88,93331.57,93485.88,83.55395,2025-01-01 11:29:59.999,7805000.6208396,13591,56.85607,5311027.4898267,0
2025-01-01 11:30:00,93485.88,93605.82,93402.0,93593.24,72.79136,2025-01-01 11:44:59.999,6806592.5941822,12821,43.77333,4093743.6411688,0
