Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2022-01-01 00:00:00,46216.93,46731.39,46208.37,46656.13,1503.33095,2022-01-01 00:59:59.999,69879986.3904993,38608,806.06536,37462156.917644,0
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,943.81539,2022-01-01 01:59:59.999,44127148.1176022,31872,491.18067,22963272.8553742,0
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,485.1686,2022-01-01 02:59:59.999,22720670.4192001,24364,206.35113,9662607.0658957,0
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,562.88971,2022-01-01 03:59:59.999,26363260.4633629,19882,248.28212,11629376.3969603,0
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,861.88389,2022-01-01 04:59:59.999,40272043.7383876,23357,397.53563,18575402.2591101,0
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,1400.73642,2022-01-01 05:59:59.999,66188305.956227,41431,776.78632,36695321.6892667,0
2022-01-01 06:00:00,47192.56,47324.42,46940.0,46979.62,613.97776,2022-01-01 06:59:59.999,28941491.5656397,25196,299.44097,14116069.3835397,0
2022-01-01 07:00:00,46979.61,47255.85,46864.84,47194.73,646.20081,2022-01-01 07:59:59.999,30399865.6325987,25166,290.68371,13676285.5882507,0
2022-01-01 08:00:00,47194.73,47344.69,47075.11,47124.82,532.44767,2022-01-01 08:59:59.999,25132258.9178944,24412,277.09449,13080038.8468275,0
2022-01-01 09:00:00,47124.82,47215.56,46933.58,47143.98,541.32491,2022-01-01 09:59:59.999,25480514.3843935,25365,254.64431,11986961.5242905,0
2022-01-01 10:00:00,47143.98,47298.75,46715.39,46871.08,923.0176,2022-01-01 10:59:59.999,43322629.2277111,32540,448.37765,21043573.6607499,0
2022-01-01 11:00:00,46871.09,47007.73,46756.77,46758.87,732.88793,2022-01-01 11:59:59.999,34373032.6824355,27081,331.45687,15546269.3269553,0
2022-01-01 12:00:00,46758.87,47150.48,46756.3,47074.05,582.15009,2022-01-01 12:59:59.999,27355387.028293,25608,305.54991,14358610.1021682,0
